task,actual,predicted,language_type,category,priority,scenario_id,ticket_text
Category,Fire and Safety,Cleaning,Sinhala,Fire and Safety,Emergency,fire_and_safety_heavy_smoke,නඩත්තු ඉල්ලීම. පොදු කොරිඩෝර් එක දුමෙන් පිරෙනවා. අලුත්වැඩියා කරන්න. ස්ථානයේදී ගැටලුව පැහැදිලිව පේනවා. තත්ත්වය අනතුරුදායක නිසා දැන්ම ප්‍රතිචාර දක්වන්න.
Category,Fire and Safety,Cleaning,Sinhala,Fire and Safety,Emergency,fire_and_safety_heavy_smoke,නඩත්තු ඉල්ලීම. පොදු කොරිඩෝර් එක දුමෙන් පිරෙනවා. දැන් ටිකක් වැඩි වෙලා. මේ ගැටලුව මීට පෙරත් වෙලා තියෙනවා. තත්ත්වය අනතුරුදායක නිසා දැන්ම ප්‍රතිචාර දක්වන්න.
Category,Pest Control,Fire and Safety,Mixed,Pest Control,High,pest_control_bee_swarm,maintenance request එක. bee swarm එකක් residents ළඟ. reported location එකේ. reported area එකේ problem එක තියෙනවා. delay වුණොත් more damage වෙන්න පුළුවන්.
Category,Fire and Safety,Cleaning,Sinhala,Fire and Safety,Emergency,fire_and_safety_heavy_smoke,කරුණාකර පරීක්ෂා කරන්න. පොදු කොරිඩෝර් එක දුමෙන් පිරෙනවා. අපාර්ට්මෙන්ට් එකේ. මේ ගැටලුව මීට පෙරත් වෙලා තියෙනවා. නේවාසිකයන්ට හෝ දේපළට හදිසි අවදානමක් විය හැකියි.
Category,Fire and Safety,Cleaning,Sinhala,Fire and Safety,Emergency,fire_and_safety_heavy_smoke,කරුණාකර පරීක්ෂා කරන්න. පොදු කොරිඩෝර් එක දුමෙන් පිරෙනවා. දැන් ටිකක් වැඩි වෙලා. වාර්තා කළ ප්‍රදේශයේ ගැටලුව තියෙනවා. තත්ත්වය අනතුරුදායක නිසා දැන්ම ප්‍රතිචාර දක්වන්න.
Category,Fire and Safety,Cleaning,Sinhala,Fire and Safety,Emergency,fire_and_safety_heavy_smoke,අද සිට මේක තියෙනවා. පොදු කොරිඩෝර් එක දුමෙන් පිරෙනවා. අපාර්ට්මෙන්ට් එකේ. ගැටලුව ටික වෙලාවක් තිස්සේ පවතිනවා. නේවාසිකයන්ට හෝ දේපළට හදිසි අවදානමක් විය හැකියි.
Category,Fire and Safety,Cleaning,Sinhala,Fire and Safety,Emergency,fire_and_safety_heavy_smoke,නඩත්තු ඉල්ලීම. පොදු කොරිඩෝර් එක දුමෙන් පිරෙනවා. පොදු ප්‍රදේශය අසල. මේක අද උදේ සිට තියෙනවා. වහාම හදිසි උදව් අවශ්‍යයි.
Category,Pest Control,Fire and Safety,English,Pest Control,High,pest_control_bee_swarm,Please check this issue. An aggressive bee swarm is close to residents. near the common area. Please inspect the reported item. The fault may cause more damage if it is delayed.
Category,Fire and Safety,Cleaning,Sinhala,Fire and Safety,Emergency,fire_and_safety_heavy_smoke,කරුණාකර පරීක්ෂා කරන්න. පොදු කොරිඩෝර් එක දුමෙන් පිරෙනවා. වාර්තා කළ ස්ථානයේ. සාමාන්‍ය භාවිතයේදී මේක දැකගත්තා. නේවාසිකයන්ට හෝ දේපළට හදිසි අවදානමක් විය හැකියි.
Category,Fire and Safety,Cleaning,Sinhala,Fire and Safety,Emergency,fire_and_safety_heavy_smoke,අද සිට මේක තියෙනවා. පොදු කොරිඩෝර් එක දුමෙන් පිරෙනවා. දැන් ටිකක් වැඩි වෙලා. ගැටලුව තවම පවතිනවා. තත්ත්වය අනතුරුදායක නිසා දැන්ම ප්‍රතිචාර දක්වන්න.
Category,Structural,Carpentry,Sinhala,Structural,High,structural_railing_structural_fixing,මේ ගැටලුවට අවධානය දෙන්න. බැල්කනි අත්පාවරුවේ සවි කිරීම කොන්ක්‍රීට් එකෙන් ලූස් වෙලා. පොදු ප්‍රදේශය අසල. සාමාන්‍ය අපාර්ට්මෙන්ට් භාවිතයට බාධාවක් තියෙනවා. තාක්ෂණිකයෙකු ඉක්මනින් යොදවන්න.
