expected_language,predicted_language,passed,singlish_score,english_score,reason,ticket_text
English,English,True,0,7,No strong Sinhala or Singlish pattern was detected,The bathroom tap is leaking slowly
English,English,True,0,4,No strong Sinhala or Singlish pattern was detected,Please check the broken bedroom door
English,English,True,0,11,No strong Sinhala or Singlish pattern was detected,There is smoke near the electrical panel
English,English,True,0,9,No strong Sinhala or Singlish pattern was detected,The lift door is not opening properly
English,English,True,0,6,No strong Sinhala or Singlish pattern was detected,Water is collecting near the basement drain
English,English,True,0,9,No strong Sinhala or Singlish pattern was detected,The air conditioner is not cooling the room
English,English,True,0,9,No strong Sinhala or Singlish pattern was detected,There are cockroaches in the kitchen
English,English,True,0,9,No strong Sinhala or Singlish pattern was detected,The corridor needs cleaning today
English,English,True,0,7,No strong Sinhala or Singlish pattern was detected,The wall socket is damaged
English,English,True,0,6,No strong Sinhala or Singlish pattern was detected,Please send a plumber for the leaking pipe
English,English,True,0,7,No strong Sinhala or Singlish pattern was detected,The main door cannot be locked
English,English,True,0,7,No strong Sinhala or Singlish pattern was detected,The waste pipe is blocked
English,English,True,0,9,No strong Sinhala or Singlish pattern was detected,The emergency light is not working
English,English,True,0,6,No strong Sinhala or Singlish pattern was detected,A person is stuck inside the lift
English,English,True,0,7,No strong Sinhala or Singlish pattern was detected,The AC is making a loud noise
English,English,True,0,7,No strong Sinhala or Singlish pattern was detected,The balcony drain is slow
English,English,True,0,4,No strong Sinhala or Singlish pattern was detected,Please inspect the loose cupboard hinge
English,English,True,0,11,No strong Sinhala or Singlish pattern was detected,There is a burning smell from the switch
English,English,True,0,7,No strong Sinhala or Singlish pattern was detected,The toilet has a water flow problem
English,English,True,0,7,No strong Sinhala or Singlish pattern was detected,The common area floor is dirty
English,English,True,0,7,No strong Sinhala or Singlish pattern was detected,The power outlet has stopped working
English,English,True,0,7,No strong Sinhala or Singlish pattern was detected,The sink pipe is dripping
English,English,True,0,9,No strong Sinhala or Singlish pattern was detected,The lift call button does not respond
English,English,True,0,2,No strong Sinhala or Singlish pattern was detected,The kitchen drain smells bad
English,English,True,0,7,No strong Sinhala or Singlish pattern was detected,The window frame is loose
English,English,True,0,4,No strong Sinhala or Singlish pattern was detected,The resident reported a maintenance problem today
English,English,True,0,4,No strong Sinhala or Singlish pattern was detected,Please arrange the correct technician
English,English,True,0,9,No strong Sinhala or Singlish pattern was detected,This issue has been present since last night
English,English,True,0,7,No strong Sinhala or Singlish pattern was detected,The water pressure is low in the apartment
English,English,True,0,7,No strong Sinhala or Singlish pattern was detected,The common corridor light is flickering
Sinhala,Sinhala,True,0,0,Sinhala script is present without Latin text,බාත්රූම් ටැප් එකෙන් වතුර කාන්දු වෙනවා
Sinhala,Sinhala,True,0,0,Sinhala script is present without Latin text,නිදන කාමරයේ දොර කැඩිලා
Sinhala,Sinhala,True,0,0,Sinhala script is present without Latin text,විදුලි පැනලය අසල දුම එනවා
Sinhala,Sinhala,True,0,0,Sinhala script is present without Latin text,ලිෆ්ට් දොර හරියට ඇරෙන්නේ නැහැ
